asset,length,category,keyword,first issued,ask price
A112358132134558914,19,Numeric,Other,1448385151,10
A12345678910987654321,21,Numeric,Other,1448385151,50
A123581321345589144,19,Numeric,,1448385151,50
A987654321123456789,19,Numeric,Other,1448385151,50
BABC,4,Acronym,ABC,1444149258,25
BACH,4,Name,Other,1444715872,10
BAJA,4,Geographic,Other,1444169691,10
BARKER,6,Name,Other,1444165150,10
BARNS,5,Name,Other,1444165150,10
BAZA,4,Spanish,Other,1444715467,10
BBAA,4,Acronym,Other,1444169691,10
BBBI,4,Acronym,BBB,1449943068,10
BBIT,4,Bitcoin,BIT,1444156909,10
BBLOCK,6,Bitcoin,BLOCK,1444149258,5
BCNU,4,Brandable,Other,1449901081,10
BCOM,4,Internet,COM,1444162839,10
BCOMPANY,8,Business,COMPANY,1444069478,5
BCORP,5,Business,CORP,1444073482,5
BEAU,4,Dictionary,Other,1444169691,25
BEAUX,5,Dictionary,Other,1444169691,25
BEEM,4,Dictionary,Other,1443143217,25
BENTLEY,7,Name,Other,1444165150,10
BERK,4,Dictionary,Other,1444715872,25
BFUND,5,Finance,FUND,1444077100,5
BGOLD,5,Finance,GOLD,1444103476,5
BHOLD,5,Finance,HOLD,1444082343,5
BHOLDINGS,9,Finance,HOLD,1444153894,5
BIPO,4,Finance,IPO,1444079910,10
BIRCH,5,Dictionary,Other,1444169691,25
BITI,4,Bitcoin,BIT,1444156909,10
BITY,4,Bitcoin,BIT,1444156909,10
BKLYN,5,Geographic,Other,1449974976,10
BKNY,4,Geographic,Other,1443475345,10
BKON,4,Brandable,Other,1443475345,10
BKYLN,5,Geographic,Other,1443475345,10
BLAB,4,Dictionary,Other,1444715872,25
BLAM,4,Brandable,Other,1444715872,10
BLDR,4,Acronym,Other,1443202971,10
BLLC,4,Business,LLC,1444073482,10
BLOC,4,Bitcoin,BLOCK,1444169691,10
BLOCKA,6,Bitcoin,BLOCK,1444149258,5
BLOCKB,6,Bitcoin,BLOCK,1444149258,5
BLOCKC,6,Bitcoin,BLOCK,1444149258,5
BLOCKR,6,Bitcoin,BLOCK,1444149258,5
BLOCKX,6,Bitcoin,BLOCK,1444149258,5
BLOCKZ,6,Bitcoin,BLOCK,1444149258,5
BLOCS,5,Bitcoin,BLOCK,1444169691,5
BLOK,4,Bitcoin,BLOCK,1444169691,10
BLOKS,5,Bitcoin,BLOCK,1444169691,5
BLTD,4,Business,LTD,1444084382,10
BMAIL,5,Bitcoin,Other,1449900303,5
BNET,4,Internet,NET,1444156909,10
BOOO,4,Brandable,OOO,1444153894,10
BOUT,4,Gambling,BOX,1444169691,10
BOUTS,5,Gambling,BOX,1444169691,10
BOXES,5,Dictionary,BOX,1444169691,25
BOXX,4,Gambling,BOX,1444169691,10
BOXXY,5,Internet,BOX,1443143217,10
BRADFORD,8,Name,Other,1444165150,10
BRAG,4,Dictionary,Other,1444715872,25
BSERIES,7,Finance,SERIES,1444075253,5
BSHARE,6,Finance,SHARE,1444079910,5
BSHARES,7,Finance,SHARE,1444073482,5
BSTOCK,6,Finance,STOCK,1444081139,5
BSTOCKS,7,Finance,STOCK,1444081139,5
BTCI,4,Bitcoin,BTC,1444149258,10
BTCO,4,Bitcoin,BTC,1444156909,10
BTOKEN,6,Finance,TOKEN,1444082343,5
BTRADE,6,Finance,TRADE,1444103476,5
BTRANCHE,8,Finance,TRANCHE,1444076194,5
BUDA,4,Acronym,Other,1450142637,25
BUEN,4,Spanish,Other,1444708352,10
BWWW,4,Internet,WWW,1444153894,10
BXXX,4,Brandable,XXX,1449975485,10
BYOB,4,Acronym,Other,1443206520,25
BZZZ,4,Dictionary,Other,1449975485,25
CAAA,4,Acronym,AAA,1444150908,10
CADA,4,Spanish,Other,1444715467,10
CALDWELL,8,Name,Other,1444165380,10
CALYPSO,7,Mythology,Other,1444165150,10
CANOPY,6,Dictionary,Other,1444169691,25
CAPECOD,7,Geographic,Other,1450142637,10
CASHY,5,Brandable,CASH,1444082343,10
CASK,4,Dictionary,Other,1444715872,25
CASTOR,6,Mythology,Other,1444165150,10
CBIT,4,Bitcoin,BIT,1444156909,10
CCOM,4,Internet,COM,1444162839,10
CCOMPANY,8,Business,COMPANY,1444069478,5
CCORP,5,Business,CORP,1444073482,5
CDEF,4,Acronym,Other,1449654348,25
CECA,4,Spanish,Other,1444715467,10
CEDAR,5,Dictionary,Other,1444169691,25
CERO,4,Spanish,Other,1444708352,10
CFUND,5,Finance,FUND,1444077100,5
CHAI,4,Dictionary,Other,1444169691,25
CHANG,5,Name,Other,1444165380,10
CHIMERA,7,Mythology,Other,1444165150,10
CHOP,4,Dictionary,Other,1443475345,25
CIEN,4,Spanish,Other,1444708352,10
CION,4,Dictionary,Other,1444715872,25
CIPO,4,Finance,IPO,1444079910,10
CIRC,4,Brandable,Other,1443207255,10
CIRCE,5,Mythology,Other,1444165150,10
CLIC,4,Spanish,Other,1444169691,10
CLICKZ,6,Internet,Other,1443136218,10
CLLC,4,Business,LLC,1444073482,10
CLTD,4,Business,LTD,1444084382,10
CMONEY,6,Currency,MONEY,1444084382,100
COCA,4,Spanish,Other,1444169691,10
COGS,4,Dictionary,Other,1444169691,25
COIND,5,Brandable,COIN,1444075253,10
COINDEX,7,Bitcoin,COIN,1443202971,5
COINO,5,Brandable,COIN,1444075253,10
COINR,5,Brandable,COIN,1444075253,10
COINY,5,Brandable,COIN,1444075253,10
COMPANIA,8,Spanish,COMPANY,1444709379,10
COMPANYA,8,Business,COMPANY,1444069478,5
COMPANYB,8,Business,COMPANY,1444069478,5
